Testing N=32	AVG 17.885 GFLOPS
Testing N=64	AVG 20.035 GFLOPS
Testing N=128	AVG 23.41 GFLOPS
Testing N=256	AVG 23.815 GFLOPS
Testing N=511	AVG 21.665 GFLOPS
Testing N=512	AVG 21.875 GFLOPS
Testing N=513	AVG 21.01 GFLOPS
Testing N=1023	AVG 21.165 GFLOPS
Testing N=1024	AVG 21.6 GFLOPS
Testing N=1025	AVG 21.415 GFLOPS
Testing N=2047	AVG 22.105 GFLOPS
Testing N=2048	AVG 22.21 GFLOPS
Results saved in data.txt
