Testing N=32	AVG 17.07 GFLOPS
Testing N=64	AVG 19.58 GFLOPS
Testing N=128	AVG 21.135 GFLOPS
Testing N=256	AVG 21.935 GFLOPS
Testing N=511	AVG 22.305 GFLOPS
Testing N=512	AVG 22.25 GFLOPS
Testing N=513	AVG 21.34 GFLOPS
Testing N=1023	AVG 21.845 GFLOPS
Testing N=1024	AVG 21.82 GFLOPS
Testing N=1025	AVG 21.045 GFLOPS
Testing N=2047	AVG 21.385 GFLOPS
Testing N=2048	AVG 21.01 GFLOPS
Results saved in data.txt
